                                                                                                                                                                                                                                         
{'loss': '4.226', 'grad_norm': '13.49', 'learning_rate': '0.0001917', 'epoch': '0.4124'}
{'loss': '3.093', 'grad_norm': '30.79', 'learning_rate': '0.0001915', 'epoch': '0.4151'}
{'loss': '3.365', 'grad_norm': '18.29', 'learning_rate': '0.0001913', 'epoch': '0.4178'}
{'loss': '2.424', 'grad_norm': '3.29', 'learning_rate': '0.0001911', 'epoch': '0.4206'}
{'loss': '1.439', 'grad_norm': '11.36', 'learning_rate': '0.0001909', 'epoch': '0.4233'}
{'loss': '0.2221', 'grad_norm': '0.1659', 'learning_rate': '0.0001907', 'epoch': '0.426'}
{'loss': '7.131', 'grad_norm': '64.97', 'learning_rate': '0.0001905', 'epoch': '0.4287'}
{'loss': '3.733', 'grad_norm': '22.36', 'learning_rate': '0.0001903', 'epoch': '0.4314'}
{'loss': '4.435', 'grad_norm': '25.62', 'learning_rate': '0.0001901', 'epoch': '0.4341'}
{'loss': '3.046', 'grad_norm': '18.74', 'learning_rate': '0.0001899', 'epoch': '0.4368'}
{'loss': '3.189', 'grad_norm': '9.972', 'learning_rate': '0.0001897', 'epoch': '0.4395'}
{'loss': '3.186', 'grad_norm': '37.04', 'learning_rate': '0.0001895', 'epoch': '0.4423'}
{'loss': '1.445', 'grad_norm': '3.763', 'learning_rate': '0.0001893', 'epoch': '0.445'}
{'loss': '2.562', 'grad_norm': '0.06297', 'learning_rate': '0.0001891', 'epoch': '0.4477'}
{'loss': '0.00101', 'grad_norm': '0.03322', 'learning_rate': '0.0001889', 'epoch': '0.4504'}
{'loss': '2.928', 'grad_norm': '0.09495', 'learning_rate': '0.0001887', 'epoch': '0.4531'}
{'loss': '7.98', 'grad_norm': '62.22', 'learning_rate': '0.0001885', 'epoch': '0.4558'}
{'loss': '0.9885', 'grad_norm': '17.09', 'learning_rate': '0.0001883', 'epoch': '0.4585'}
{'loss': '1.505', 'grad_norm': '66.22', 'learning_rate': '0.0001881', 'epoch': '0.4613'}
{'loss': '9.992', 'grad_norm': '66.08', 'learning_rate': '0.0001879', 'epoch': '0.464'}
{'loss': '2.279', 'grad_norm': '4.1', 'learning_rate': '0.0001877', 'epoch': '0.4667'}
{'loss': '0.03992', 'grad_norm': '0.2553', 'learning_rate': '0.0001875', 'epoch': '0.4694'}
{'loss': '0.004849', 'grad_norm': '0.06334', 'learning_rate': '0.0001873', 'epoch': '0.4721'}
{'loss': '4.299', 'grad_norm': '134.1', 'learning_rate': '0.0001871', 'epoch': '0.4748'}
{'loss': '20.07', 'grad_norm': '133.6', 'learning_rate': '0.0001869', 'epoch': '0.4775'}
{'loss': '13.29', 'grad_norm': '127.6', 'learning_rate': '0.0001867', 'epoch': '0.4802'}
{'loss': '6.873', 'grad_norm': '106.9', 'learning_rate': '0.0001865', 'epoch': '0.483'}
{'loss': '3.481', 'grad_norm': '17.99', 'learning_rate': '0.0001863', 'epoch': '0.4857'}
{'loss': '3.47', 'grad_norm': '80.59', 'learning_rate': '0.0001861', 'epoch': '0.4884'}
{'loss': '4.825', 'grad_norm': '26.07', 'learning_rate': '0.0001859', 'epoch': '0.4911'}
{'loss': '4.726', 'grad_norm': '15.44', 'learning_rate': '0.0001857', 'epoch': '0.4938'}
{'loss': '4.08', 'grad_norm': '169.1', 'learning_rate': '0.0001855', 'epoch': '0.4965'}
{'loss': '3.091', 'grad_norm': '60.7', 'learning_rate': '0.0001853', 'epoch': '0.4992'}
{'loss': '1.057', 'grad_norm': '11.87', 'learning_rate': '0.0001851', 'epoch': '0.502'}
{'loss': '0.1461', 'grad_norm': '1.322', 'learning_rate': '0.0001849', 'epoch': '0.5047'}
{'loss': '0.01342', 'grad_norm': '0.2638', 'learning_rate': '0.0001847', 'epoch': '0.5074'}
{'loss': '0.001692', 'grad_norm': '0.04588', 'learning_rate': '0.0001845', 'epoch': '0.5101'}
{'loss': '0.000587', 'grad_norm': '0.02231', 'learning_rate': '0.0001843', 'epoch': '0.5128'}
{'loss': '0.0005863', 'grad_norm': '0.01637', 'learning_rate': '0.0001841', 'epoch': '0.5155'}
{'loss': '0.0003497', 'grad_norm': '0.01363', 'learning_rate': '0.0001839', 'epoch': '0.5182'}
{'loss': '0.0002965', 'grad_norm': '0.006993', 'learning_rate': '0.0001837', 'epoch': '0.5209'}
{'loss': '12.48', 'grad_norm': '67.19', 'learning_rate': '0.0001835', 'epoch': '0.5237'}
{'loss': '8.114', 'grad_norm': '0.4724', 'learning_rate': '0.0001833', 'epoch': '0.5264'}
{'loss': '3.625', 'grad_norm': '65.83', 'learning_rate': '0.0001831', 'epoch': '0.5291'}
{'loss': '7.506', 'grad_norm': '61.97', 'learning_rate': '0.0001829', 'epoch': '0.5318'}
{'loss': '4.591', 'grad_norm': '36.56', 'learning_rate': '0.0001827', 'epoch': '0.5345'}
{'loss': '3.214', 'grad_norm': '32.22', 'learning_rate': '0.0001825', 'epoch': '0.5372'}
