                                                                                                                                                                                                                                         
{'loss': '2.816', 'grad_norm': '7.349', 'learning_rate': '0.0001025', 'epoch': '1.618'}
{'loss': '2.342', 'grad_norm': '29.81', 'learning_rate': '0.0001017', 'epoch': '1.629'}
{'loss': '3.549', 'grad_norm': '29.53', 'learning_rate': '0.0001009', 'epoch': '1.639'}
{'loss': '3.406', 'grad_norm': '29.35', 'learning_rate': '0.0001002', 'epoch': '1.65'}
{'loss': '3.1', 'grad_norm': '6.279', 'learning_rate': '9.938e-05', 'epoch': '1.66'}
{'loss': '3.058', 'grad_norm': '31.34', 'learning_rate': '9.861e-05', 'epoch': '1.67'}
{'loss': '3.563', 'grad_norm': '42.69', 'learning_rate': '9.783e-05', 'epoch': '1.681'}
{'loss': '3.62', 'grad_norm': '17.24', 'learning_rate': '9.706e-05', 'epoch': '1.691'}
{'loss': '4.001', 'grad_norm': '6.716', 'learning_rate': '9.629e-05', 'epoch': '1.702'}
{'loss': '3.119', 'grad_norm': '26.59', 'learning_rate': '9.551e-05', 'epoch': '1.712'}
{'loss': '3.868', 'grad_norm': '22.94', 'learning_rate': '9.474e-05', 'epoch': '1.723'}
{'loss': '3.04', 'grad_norm': '8.891', 'learning_rate': '9.397e-05', 'epoch': '1.733'}
{'loss': '4.696', 'grad_norm': '19.14', 'learning_rate': '9.319e-05', 'epoch': '1.744'}
{'loss': '3.913', 'grad_norm': '21.84', 'learning_rate': '9.242e-05', 'epoch': '1.754'}
{'loss': '2.925', 'grad_norm': '15.99', 'learning_rate': '9.165e-05', 'epoch': '1.764'}
{'loss': '3.11', 'grad_norm': '39.53', 'learning_rate': '9.087e-05', 'epoch': '1.775'}
{'loss': '3.553', 'grad_norm': '41.23', 'learning_rate': '9.01e-05', 'epoch': '1.785'}
{'loss': '4.532', 'grad_norm': '57.9', 'learning_rate': '8.933e-05', 'epoch': '1.796'}
{'loss': '3.69', 'grad_norm': '202.3', 'learning_rate': '8.855e-05', 'epoch': '1.806'}
{'loss': '4.905', 'grad_norm': '17.46', 'learning_rate': '8.778e-05', 'epoch': '1.817'}
{'loss': '4.197', 'grad_norm': '11.09', 'learning_rate': '8.701e-05', 'epoch': '1.827'}
{'loss': '3.781', 'grad_norm': '43.36', 'learning_rate': '8.623e-05', 'epoch': '1.837'}
{'loss': '4.992', 'grad_norm': '28.07', 'learning_rate': '8.546e-05', 'epoch': '1.848'}
{'loss': '4.335', 'grad_norm': '11.08', 'learning_rate': '8.469e-05', 'epoch': '1.858'}
{'loss': '4.138', 'grad_norm': '38.88', 'learning_rate': '8.391e-05', 'epoch': '1.869'}
{'loss': '3.68', 'grad_norm': '29.34', 'learning_rate': '8.314e-05', 'epoch': '1.879'}
{'loss': '3.044', 'grad_norm': '49.59', 'learning_rate': '8.237e-05', 'epoch': '1.89'}
{'loss': '3.96', 'grad_norm': '17.82', 'learning_rate': '8.159e-05', 'epoch': '1.9'}
{'loss': '2.932', 'grad_norm': '37.85', 'learning_rate': '8.082e-05', 'epoch': '1.911'}
{'loss': '2.017', 'grad_norm': '6.843', 'learning_rate': '8.005e-05', 'epoch': '1.921'}
{'loss': '1.643', 'grad_norm': '36.94', 'learning_rate': '7.927e-05', 'epoch': '1.931'}
{'loss': '2.538', 'grad_norm': '93.48', 'learning_rate': '7.85e-05', 'epoch': '1.942'}
{'loss': '5.062', 'grad_norm': '31.87', 'learning_rate': '7.773e-05', 'epoch': '1.952'}
{'loss': '3.063', 'grad_norm': '44.87', 'learning_rate': '7.695e-05', 'epoch': '1.963'}
{'loss': '2.446', 'grad_norm': '20.62', 'learning_rate': '7.618e-05', 'epoch': '1.973'}
{'loss': '2.895', 'grad_norm': '16.53', 'learning_rate': '7.541e-05', 'epoch': '1.984'}
{'loss': '3.969', 'grad_norm': '14.58', 'learning_rate': '7.463e-05', 'epoch': '1.994'}
{'eval_loss': '0.8126', 'eval_accuracy': '0.6074', 'eval_precision': '0.2115', 'eval_recall': '0.966', 'eval_f1': '0.347', 'eval_tn': 6573, 'eval_fp': 5081, 'eval_fn': 48, 'eval_tp': 1363, 'eval_runtime': '633.4', 'eval_samples_per_second': '20.63', 'eval_steps_per_second': '5.158', 'epoch': '2'}
{'loss': '2.613', 'grad_norm': '21.53', 'learning_rate': '7.386e-05', 'epoch': '2.004'}
{'loss': '2.447', 'grad_norm': '38.93', 'learning_rate': '7.309e-05', 'epoch': '2.015'}
{'loss': '2.283', 'grad_norm': '7.956', 'learning_rate': '7.231e-05', 'epoch': '2.025'}
{'loss': '2.568', 'grad_norm': '28.21', 'learning_rate': '7.154e-05', 'epoch': '2.036'}
{'loss': '2.584', 'grad_norm': '33.89', 'learning_rate': '7.077e-05', 'epoch': '2.046'}
{'loss': '3.065', 'grad_norm': '32.54', 'learning_rate': '6.999e-05', 'epoch': '2.056'}
{'loss': '3.435', 'grad_norm': '25.21', 'learning_rate': '6.922e-05', 'epoch': '2.067'}
{'loss': '3.014', 'grad_norm': '8.441', 'learning_rate': '6.845e-05', 'epoch': '2.077'}
{'loss': '2.638', 'grad_norm': '29.61', 'learning_rate': '6.767e-05', 'epoch': '2.088'}
{'loss': '2.242', 'grad_norm': '8.537', 'learning_rate': '6.69e-05', 'epoch': '2.098'}
{'loss': '2.756', 'grad_norm': '47.25', 'learning_rate': '6.613e-05', 'epoch': '2.109'}
{'loss': '3.248', 'grad_norm': '65.99', 'learning_rate': '6.535e-05', 'epoch': '2.119'}
{'loss': '3.109', 'grad_norm': '21.03', 'learning_rate': '6.458e-05', 'epoch': '2.129'}
{'loss': '3.395', 'grad_norm': '74.63', 'learning_rate': '6.381e-05', 'epoch': '2.14'}
{'loss': '2.25', 'grad_norm': '14.25', 'learning_rate': '6.303e-05', 'epoch': '2.15'}
{'loss': '4.158', 'grad_norm': '43.55', 'learning_rate': '6.226e-05', 'epoch': '2.161'}
{'loss': '2.281', 'grad_norm': '8.31', 'learning_rate': '6.148e-05', 'epoch': '2.171'}
{'loss': '3.192', 'grad_norm': '40.65', 'learning_rate': '6.071e-05', 'epoch': '2.182'}
{'loss': '2.909', 'grad_norm': '12.53', 'learning_rate': '5.994e-05', 'epoch': '2.192'}
{'loss': '2.352', 'grad_norm': '9.956', 'learning_rate': '5.916e-05', 'epoch': '2.203'}
{'loss': '3.025', 'grad_norm': '62.38', 'learning_rate': '5.839e-05', 'epoch': '2.213'}
{'loss': '4.437', 'grad_norm': '62.12', 'learning_rate': '5.762e-05', 'epoch': '2.223'}
{'loss': '3.146', 'grad_norm': '21.52', 'learning_rate': '5.684e-05', 'epoch': '2.234'}
{'loss': '1.809', 'grad_norm': '7.542', 'learning_rate': '5.607e-05', 'epoch': '2.244'}
{'loss': '1.956', 'grad_norm': '34.59', 'learning_rate': '5.53e-05', 'epoch': '2.255'}
{'loss': '2.827', 'grad_norm': '61.72', 'learning_rate': '5.452e-05', 'epoch': '2.265'}
{'loss': '2.716', 'grad_norm': '28.51', 'learning_rate': '5.375e-05', 'epoch': '2.276'}
{'loss': '3.113', 'grad_norm': '23.62', 'learning_rate': '5.298e-05', 'epoch': '2.286'}
{'loss': '2.125', 'grad_norm': '19.07', 'learning_rate': '5.22e-05', 'epoch': '2.297'}
{'loss': '1.312', 'grad_norm': '8.373', 'learning_rate': '5.143e-05', 'epoch': '2.307'}
{'loss': '1.875', 'grad_norm': '8.319', 'learning_rate': '5.066e-05', 'epoch': '2.317'}
{'loss': '1.81', 'grad_norm': '41.73', 'learning_rate': '4.988e-05', 'epoch': '2.328'}
{'loss': '4.41', 'grad_norm': '57.78', 'learning_rate': '4.911e-05', 'epoch': '2.338'}
{'loss': '2.355', 'grad_norm': '27.21', 'learning_rate': '4.834e-05', 'epoch': '2.349'}
{'loss': '3.013', 'grad_norm': '25.09', 'learning_rate': '4.756e-05', 'epoch': '2.359'}
{'loss': '2.3', 'grad_norm': '16.48', 'learning_rate': '4.679e-05', 'epoch': '2.37'}
{'loss': '1.451', 'grad_norm': '43.69', 'learning_rate': '4.602e-05', 'epoch': '2.38'}
{'loss': '2.293', 'grad_norm': '25.53', 'learning_rate': '4.524e-05', 'epoch': '2.391'}
{'loss': '4.214', 'grad_norm': '48.97', 'learning_rate': '4.447e-05', 'epoch': '2.401'}
